"subj";"cloze";"item";"n400";"cloze_ans";"N"
2;0.03;9;15.85;1;44
2;1;3;2.03;44;44
2;0.9;15;-26.96;40;44
2;0.03;10;9.43;1;44
2;1;19;22.82;44;44
2;0.93;16;-20.06;41;44
2;0;6;11.53;0;44
2;0;18;-0.13;0;44
2;0.9;20;14.91;40;44
2;0;5;-3.01;0;44
2;0;37;8.58;0;44
2;0.77;36;-4.39;34;44
2;0.27;28;-6.42;12;44
2;0.97;35;7.13;43;44
2;0.93;24;-6.56;41;44
2;0.93;40;-6.73;41;44
2;0.97;39;2.93;43;44
2;0;30;10.18;0;44
2;0.03;21;1.1;1;44
2;0.17;22;10.65;7;44
2;0.93;23;3.68;41;44
2;0.77;31;0.55;34;44
2;0.8;32;-11.59;35;44
2;0.9;29;-2.47;40;44
2;0.9;29;-2.47;40;44
2;0;25;9.47;0;44
2;0.3;34;2.39;13;44
2;0.97;27;1.29;43;44
2;0.73;59;1.61;32;44
2;0.17;45;12.62;7;44
2;0.5;49;1.96;22;44
2;0.07;53;3.56;3;44
2;0.87;48;5.01;38;44
2;0.3;54;11.36;13;44
2;0.93;43;-4.27;41;44
2;0.13;42;1.67;6;44
2;0.93;56;0.37;41;44
2;0;58;13.2;0;44
2;0.87;52;-17.23;38;44
2;0.07;41;8.67;3;44
2;0.2;46;0.27;9;44
2;0.9;44;17.17;40;44
2;0.9;51;-6.14;40;44
2;1;47;5.23;44;44
2;0.03;70;-2.89;1;44
2;0.07;66;-0.81;3;44
2;0.97;79;-0.45;43;44
2;0.83;78;12.39;37;44
2;0;69;16.7;0;44
2;0.5;64;1.26;22;44
2;0.87;67;-14.31;38;44
2;0.9;72;10.23;40;44
2;0.97;80;12.08;43;44
2;0.07;65;2.56;3;44
2;0.27;68;-8.64;12;44
2;0.9;76;-3.4;40;44
2;0;61;-3.1;0;44
2;0.6;75;15.43;26;44
2;0.9;71;19.74;40;44
3;0.97;13;-37.17;43;44
3;0.07;11;17.52;3;44
3;0.2;4;20.56;9;44
3;0;7;-5.2;0;44
3;0;16;-3.26;0;44
3;0.8;10;2.49;35;44
3;0.62;17;17.07;27;44
3;0.93;5;27.31;41;44
3;0.34;8;-1.71;15;44
3;0;15;-4.88;0;44
3;0.97;1;11.51;43;44
3;0;19;6.41;0;44
3;0.93;9;3.38;41;44
3;1;6;-7.99;44;44
3;0;20;4.56;0;44
3;0.07;3;-2.03;3;44
3;0.87;18;-14.92;38;44
3;0.13;12;-2.81;6;44
3;1;2;2.93;44;44
3;0.9;14;9.99;40;44
3;0.9;29;1.4;40;44
3;0.9;29;1.4;40;44
3;0.77;21;12.96;34;44
3;0.8;37;-3.78;35;44
3;0.97;34;17.45;43;44
3;0.03;32;5.01;1;44
3;0;31;-15.63;0;44
3;0.53;33;-0.31;23;44
3;0.4;24;3.8;18;44
3;0.87;26;9.94;38;44
3;0.03;23;4.64;1;44
3;0;39;10.54;0;44
3;0;35;-8.88;0;44
3;0.53;22;20.61;23;44
3;0;27;-10.04;0;44
3;0.97;25;13.17;43;44
3;0.93;38;-12.83;41;44
3;0.67;28;-4.03;29;44
3;0.07;36;-1.13;3;44
3;0;40;4.86;0;44
3;0.9;30;-2.66;40;44
3;0.67;45;5.71;29;44
3;0.73;58;4.29;32;44
3;0.63;46;8.38;28;44
3;0.37;42;10.82;16;44
3;0.4;49;-9.28;18;44
3;0.27;60;7.8;12;44
3;0.4;43;-1.34;18;44
3;0.37;50;12.76;16;44
3;0.93;53;-2.23;41;44
3;1;41;3.94;44;44
3;0.03;51;7.12;1;44
3;0;52;-2.57;0;44
3;0;56;3.85;0;44
3;0.6;55;10.18;26;44
3;0.47;44;0.11;21;44
3;0.07;59;-1.33;3;44
3;0.69;57;5.54;30;44
3;0.13;47;6.99;6;44
3;0;67;12.01;0;44
3;0.93;69;2.45;41;44
3;0;71;9.85;0;44
3;0.7;62;5.43;31;44
3;0;75;0.92;0;44
3;0.97;78;-11;43;44
3;0.8;73;8.34;35;44
3;0;79;6.72;0;44
3;0.34;61;-9.7;15;44
3;0.57;70;19.87;25;44
3;0.77;64;-15.74;34;44
3;1;77;6.86;44;44
3;0;63;3.33;0;44
3;0.93;74;-0.81;41;44
3;0;80;5.3;0;44
3;0.1;68;7.92;4;44
3;0.93;65;3.7;41;44
3;0;76;6.51;0;44
3;0.23;66;-11.44;10;44
4;0.93;5;13.72;41;44
4;1;2;-0.09;44;44
4;0;20;0.83;0;44
4;0;16;6.77;0;44
4;0.8;10;3.58;35;44
4;0.9;14;10.86;40;44
4;0.93;9;10.92;41;44
4;0;15;5.39;0;44
4;1;6;6.71;44;44
4;0.87;18;-4.72;38;44
4;0;19;6.67;0;44
4;0.97;1;21.06;43;44
4;0.13;12;3.43;6;44
4;0.07;11;16.52;3;44
4;0.62;17;-8.78;27;44
4;0.07;3;5.96;3;44
4;0.97;13;14.26;43;44
4;0.2;4;25;9;44
4;0.34;8;9.12;15;44
4;0.4;24;25.14;18;44
4;0.67;28;17.99;29;44
4;0;35;14.62;0;44
4;0.07;36;23.13;3;44
4;0.8;37;16.07;35;44
4;0.97;34;7.79;43;44
4;0.03;23;-1.86;1;44
4;0.77;21;12.59;34;44
4;0.87;26;2.17;38;44
4;0;27;5.47;0;44
4;0.93;38;16.26;41;44
4;0.9;30;12.05;40;44
4;0;40;14.16;0;44
4;0;31;-3.19;0;44
4;0.53;22;24.01;23;44
4;0.9;29;6.33;40;44
4;0.9;29;6.33;40;44
4;0.53;33;9.67;23;44
4;0;39;-5.17;0;44
4;0.03;32;-6.63;1;44
4;0.97;25;14.18;43;44
4;0.69;57;-1.68;30;44
4;0.07;59;-4.74;3;44
4;0;52;15.8;0;44
4;0.73;58;27.51;32;44
4;0.37;42;18.17;16;44
4;0.93;53;-8.37;41;44
4;0.47;44;2.65;21;44
4;0;56;-3.57;0;44
4;0.77;54;2.75;34;44
4;0.27;60;-8.25;12;44
4;0.4;49;-5.82;18;44
4;0.4;43;-10.43;18;44
4;0.03;51;15.22;1;44
4;0.67;45;9.43;29;44
4;0.63;46;22.42;28;44
4;0.37;50;8.57;16;44
4;0.13;47;2.64;6;44
4;0.6;55;-14.83;26;44
4;1;41;10.93;44;44
4;0;48;-8.96;0;44
4;0.77;64;20.21;34;44
4;0.1;68;-6;4;44
4;1;77;13.88;44;44
4;0;67;11.99;0;44
4;0.23;66;18.51;10;44
4;0;63;-1.33;0;44
4;0.97;78;0.3;43;44
4;0;80;3.18;0;44
4;0;76;13.44;0;44
4;0;72;9.43;0;44
4;0.34;61;19.35;15;44
4;0.93;65;-3.27;41;44
4;0;71;13.58;0;44
4;0.93;74;10.14;41;44
4;0;75;8.69;0;44
4;0.57;70;16.91;25;44
4;0;79;9.41;0;44
4;0.8;73;0.18;35;44
4;0.7;62;7.47;31;44
4;0.93;69;19.3;41;44
5;0;6;4.81;0;44
5;1;12;10.75;44;44
5;0;1;6.58;0;44
5;1;3;7;44;44
5;0.9;15;-4.76;40;44
5;0;14;-1.37;0;44
5;0.87;11;-7.84;38;44
5;0.93;16;25.51;41;44
5;0;5;7.78;0;44
5;0.93;4;-6.62;41;44
5;0.8;7;-3.21;35;44
5;0.03;2;-3.56;1;44
5;0;18;-24.3;0;44
5;0;13;1.09;0;44
5;1;19;-5.62;44;44
5;0.03;10;-3.88;1;44
5;0.03;9;14.05;1;44
5;0;17;-9.14;0;44
5;0.97;8;5.1;43;44
5;0.03;21;-5.87;1;44
5;0.27;28;6.8;12;44
5;0.97;35;4.18;43;44
5;0;33;1.66;0;44
5;0.93;23;-4.73;41;44
5;0;25;2.88;0;44
5;0.77;36;-5.81;34;44
5;0;38;8.06;0;44
5;0.93;40;13.04;41;44
5;0.93;24;-3.04;41;44
5;0.3;34;8.37;13;44
5;0;26;6.92;0;44
5;0.17;22;5.03;7;44
5;0.8;32;11.18;35;44
5;0.97;27;4.49;43;44
5;0.97;39;4.52;43;44
5;0;30;3.11;0;44
5;0;37;3.32;0;44
5;0.77;31;-7.18;34;44
5;0.87;52;-4.69;38;44
5;0.5;49;7.94;22;44
5;0;58;12.91;0;44
5;0;57;1.56;0;44
5;0.73;59;-4.77;32;44
5;0.03;50;-4.21;1;44
5;0.9;51;3.42;40;44
5;0.07;53;-15.63;3;44
5;1;47;-8.49;44;44
5;0.07;41;-1.69;3;44
5;0.93;56;10.16;41;44
5;0.2;46;-12.21;9;44
5;0.17;45;7.53;7;44
5;0.9;60;1.97;40;44
5;0.3;54;13.15;13;44
5;0.13;42;10.39;6;44
5;0.93;43;-23.84;41;44
5;0.87;48;3.04;38;44
5;0.93;55;-0.12;41;44
5;0.9;44;3.27;40;44
5;0.27;68;-3.39;12;44
5;0.03;70;6.7;1;44
5;0.07;73;8.52;3;44
5;0.83;78;-4.67;37;44
5;0;69;5.94;0;44
5;0.07;66;-4.3;3;44
5;0.9;76;-3.35;40;44
5;0.9;72;-10.87;40;44
5;0.97;79;2.83;43;44
5;0.93;77;1.35;41;44
5;0.87;67;2.16;38;44
5;0.83;63;2.01;37;44
5;0.6;75;18.97;26;44
5;0;62;7.68;0;44
5;0;61;-2.63;0;44
5;0.97;80;-2.82;43;44
5;0.5;64;17.04;22;44
5;0;74;1.74;0;44
5;0.9;71;-5.96;40;44
5;0.07;65;-3.54;3;44
6;0;5;-26.54;0;44
6;0;1;-14.81;0;44
6;0.97;8;-17.41;43;44
6;0;14;13.18;0;44
6;0.8;7;-4.55;35;44
6;0;17;2.97;0;44
6;0.9;20;-2.73;40;44
6;0.93;4;-0.74;41;44
6;0;6;-1.34;0;44
6;0.93;16;-4.03;41;44
6;0.9;15;-6.14;40;44
6;0.87;11;-2.02;38;44
6;1;19;-0.03;44;44
6;0.03;10;19.4;1;44
6;1;3;-0.66;44;44
6;0;18;7.43;0;44
6;0;13;10.88;0;44
6;0.03;2;-1.05;1;44
6;0;26;0.36;0;44
6;0;25;-13.06;0;44
6;0.97;39;6.31;43;44
6;0;37;0.66;0;44
6;0.97;27;2.27;43;44
6;0.93;40;11.08;41;44
6;0;33;9.54;0;44
6;0.93;23;-8.37;41;44
6;0.8;32;-6.97;35;44
6;0.03;21;-8.77;1;44
6;0.77;36;5.34;34;44
6;0;38;-31.61;0;44
6;0;30;8.28;0;44
6;0.97;35;-16.65;43;44
6;0.27;28;-17.43;12;44
6;0.17;22;12.77;7;44
6;0.9;29;20.27;40;44
6;0.9;29;20.27;40;44
6;0.3;34;-7.09;13;44
6;0.93;24;-1.38;41;44
6;0.5;49;11.14;22;44
6;0.73;59;16.73;32;44
6;0.2;46;0.65;9;44
6;0.87;48;6.96;38;44
6;0.9;60;13.63;40;44
6;0.9;51;24.06;40;44
6;0.87;52;9.58;38;44
6;0;58;-3.19;0;44
6;0.9;44;22.57;40;44
6;0.13;42;14.84;6;44
6;0.93;55;7.9;41;44
6;0.93;43;23.42;41;44
6;0;57;-18.89;0;44
6;0.07;53;-15.96;3;44
6;0.07;41;10.23;3;44
6;1;47;-8.54;44;44
6;0.03;50;2.82;1;44
6;0.3;54;25.15;13;44
6;0.93;56;-0.37;41;44
6;0.27;68;-19.36;12;44
6;0.93;77;-13.2;41;44
6;0.07;73;-8.23;3;44
6;0.5;64;3.7;22;44
6;0;62;-28.6;0;44
6;0;61;-9.55;0;44
6;0;69;-21.42;0;44
6;0.9;71;-4.93;40;44
6;0.07;66;-24.74;3;44
6;0.03;70;8.34;1;44
6;0.97;79;-4.7;43;44
6;0.97;80;41.15;43;44
6;0;74;-17.9;0;44
6;0.9;76;10.2;40;44
6;0.83;63;-2.39;37;44
6;0.9;72;16.68;40;44
6;0.07;65;6.26;3;44
6;0.83;78;-7.31;37;44
7;0;7;7.02;0;44
7;0.34;8;-8.32;15;44
7;0.2;4;-7.86;9;44
7;0.8;10;-17.86;35;44
7;0.9;14;12.31;40;44
7;0.07;11;22.55;3;44
7;0;19;2.29;0;44
7;0.13;12;8.6;6;44
7;1;6;11.89;44;44
7;0;15;-5.25;0;44
7;0.97;1;-0.59;43;44
7;0.87;18;-0.16;38;44
7;0.62;17;-12.31;27;44
7;0.93;9;-1.61;41;44
7;0;20;-5.69;0;44
7;0.97;13;0.15;43;44
7;1;2;-24.03;44;44
7;0;16;-7.92;0;44
7;0.07;3;-0.54;3;44
7;0.93;5;26.25;41;44
7;0.67;28;-8.86;29;44
7;0;40;7.32;0;44
7;0.9;29;11.31;40;44
7;0.9;29;11.31;40;44
7;0.9;30;0.37;40;44
7;0.53;22;-0.28;23;44
7;0;39;2.18;0;44
7;0;35;0.14;0;44
7;0.77;21;-18.97;34;44
7;0.07;36;0.08;3;44
7;0.03;32;12.61;1;44
7;0;31;-0.12;0;44
7;0.8;37;5.51;35;44
7;0.03;23;9.39;1;44
7;0.4;24;3.76;18;44
7;0.87;26;-2.57;38;44
7;0.97;34;2.38;43;44
7;0.97;25;26.72;43;44
7;0.93;38;7.01;41;44
7;0;27;-9.24;0;44
7;0.53;33;18.02;23;44
7;1;41;7.27;44;44
7;0.67;45;8.62;29;44
7;0.63;46;11.03;28;44
7;0.27;60;12.39;12;44
7;0;56;15.45;0;44
7;0.4;43;-2.05;18;44
7;0.93;53;-0.14;41;44
7;0.73;58;6.04;32;44
7;0.13;47;-14.88;6;44
7;0.37;42;12.85;16;44
7;0.03;51;18.21;1;44
7;0;48;-5.31;0;44
7;0.37;50;11.26;16;44
7;0.4;49;-11.92;18;44
7;0.6;55;-9.15;26;44
7;0.69;57;-2.56;30;44
7;0.07;59;-3.7;3;44
7;0.47;44;-29.17;21;44
7;0.77;54;4.99;34;44
7;0;76;-1.05;0;44
7;0.57;70;7.65;25;44
7;0.8;73;-17.77;35;44
7;0;71;-4.35;0;44
7;0.23;66;0.8;10;44
7;0;75;-3.69;0;44
7;0;63;-5.74;0;44
7;0.1;68;-16.49;4;44
7;0.97;78;4.42;43;44
7;0;67;8.7;0;44
7;0.93;65;-10.13;41;44
7;0.93;69;9.67;41;44
7;0;72;7.45;0;44
7;1;77;0.83;44;44
7;0.93;74;-5.61;41;44
7;0.77;64;-13.81;34;44
7;0;80;17.81;0;44
7;0;79;33.23;0;44
7;0.7;62;7.14;31;44
7;0.34;61;-16.21;15;44
8;0;20;24.27;0;44
8;0.07;11;-5.17;3;44
8;0.8;10;-1.44;35;44
8;0.62;17;10.77;27;44
8;0.13;12;11.63;6;44
8;0;16;6.2;0;44
8;0.9;14;21.96;40;44
8;1;2;7.52;44;44
8;1;6;-4.8;44;44
8;0.07;3;9.48;3;44
8;0.93;5;2.35;41;44
8;0;7;-22.26;0;44
8;0.87;18;10.35;38;44
8;0.2;4;15.86;9;44
8;0.34;8;0.88;15;44
8;0.97;13;18.58;43;44
8;0.97;1;4.25;43;44
8;0.93;9;-17.77;41;44
8;0.03;32;-5.05;1;44
8;0.53;33;2.03;23;44
8;0.97;25;26.26;43;44
8;0.53;22;2.58;23;44
8;0.87;26;27.04;38;44
8;0.07;36;-9.47;3;44
8;0;39;-4.54;0;44
8;0.9;30;-15.38;40;44
8;0.93;38;28.01;41;44
8;0.03;23;-0.58;1;44
8;0;27;-17.5;0;44
8;0.77;21;18.48;34;44
8;0.9;29;-12.19;40;44
8;0.9;29;-12.19;40;44
8;0.8;37;-1.52;35;44
8;0.67;28;6.95;29;44
8;0;35;5.37;0;44
8;0.4;24;11.26;18;44
8;0.97;34;25.72;43;44
8;0;31;18.71;0;44
8;0;40;26.95;0;44
8;0.07;59;8.24;3;44
8;0.93;53;12.96;41;44
8;0.4;49;5.98;18;44
8;0.37;50;17.83;16;44
8;0;52;-12.45;0;44
8;0;56;10.9;0;44
8;0.69;57;14.61;30;44
8;0;48;-13.47;0;44
8;0.13;47;11.87;6;44
8;0.73;58;6.17;32;44
8;0.77;54;-6.18;34;44
8;0.47;44;33;21;44
8;0.63;46;15.03;28;44
8;0.4;43;-10.5;18;44
8;0.03;51;4.59;1;44
8;1;41;-3.13;44;44
8;0.37;42;16.09;16;44
8;0.6;55;9.93;26;44
8;0.67;45;13.79;29;44
8;0;79;-5.32;0;44
8;0.93;74;5.92;41;44
8;0.1;68;6.29;4;44
8;0.93;65;15.27;41;44
8;0;75;12.65;0;44
8;1;77;6.18;44;44
8;0;71;-12.94;0;44
8;0;76;-19.19;0;44
8;0;63;-6.11;0;44
8;0.23;66;-8.09;10;44
8;0.8;73;0.05;35;44
8;0.77;64;9.45;34;44
8;0;80;-2.85;0;44
8;0.34;61;16.46;15;44
8;0;67;19.39;0;44
8;0.93;69;2.15;41;44
8;0.57;70;8.34;25;44
8;0;72;-11.31;0;44
8;0.97;78;31.56;43;44
8;0.7;62;4.49;31;44
9;1;12;-5.29;44;44
9;0.03;10;-10.95;1;44
9;0.93;16;8.67;41;44
9;1;19;2.45;44;44
9;0;18;3.23;0;44
9;1;3;-0.99;44;44
9;0;6;-3.1;0;44
9;0.8;7;0.02;35;44
9;0;13;1.1;0;44
9;0;17;2.49;0;44
9;0.93;4;18.8;41;44
9;0;14;-5.72;0;44
9;0.9;15;5.48;40;44
9;0.03;9;-6.49;1;44
9;0.97;8;15.29;43;44
9;0;1;-12.38;0;44
9;0;5;2.08;0;44
9;0.03;2;-5.84;1;44
9;0.87;11;10.01;38;44
9;0.9;20;-11.54;40;44
9;0.27;28;-0.56;12;44
9;0;30;10.93;0;44
9;0.3;34;1.59;13;44
9;0.97;27;13.68;43;44
9;0.77;36;7.41;34;44
9;0;38;-12.61;0;44
9;0.17;22;12.02;7;44
9;0.77;31;5.83;34;44
9;0.9;29;3.45;40;44
9;0.9;29;3.45;40;44
9;0.93;24;3.18;41;44
9;0;25;0.03;0;44
9;0;26;14.71;0;44
9;0;33;14.83;0;44
9;0.03;21;-0.35;1;44
9;0.97;35;-3.49;43;44
9;0.93;23;-9.89;41;44
9;0.8;32;-13.09;35;44
9;0.93;40;11.14;41;44
9;0;37;-2.99;0;44
9;0.97;39;8.28;43;44
9;0.9;44;1.68;40;44
9;0.17;45;31.92;7;44
9;0.9;60;13.78;40;44
9;1;47;-21.25;44;44
9;0.03;50;23.81;1;44
9;0.3;54;-0.4;13;44
9;0.5;49;-0.43;22;44
9;0.2;46;5.76;9;44
9;0.93;56;9.41;41;44
9;0;57;-11.81;0;44
9;0.93;55;3.66;41;44
9;0.87;48;3.98;38;44
9;0.87;52;1.5;38;44
9;0.9;51;13.05;40;44
9;0.07;53;0.77;3;44
9;0.07;41;4.01;3;44
9;0.73;59;5.5;32;44
9;0.93;43;-13.25;41;44
9;0;58;16.4;0;44
9;0.13;42;3.71;6;44
9;0;74;0.14;0;44
9;0.07;66;0.75;3;44
9;0.9;72;0.22;40;44
9;0.83;63;-5.77;37;44
9;0.9;71;-18.07;40;44
9;0.9;76;-3.6;40;44
9;0.97;80;2.76;43;44
9;0.6;75;-2.01;26;44
9;0.07;65;-6.58;3;44
9;0.5;64;4.62;22;44
9;0.87;67;-11.5;38;44
9;0;69;10.64;0;44
9;0.93;77;-0.65;41;44
9;0.97;79;18.39;43;44
9;0.03;70;9.92;1;44
9;0.07;73;12.05;3;44
9;0;61;5.41;0;44
9;0.83;78;11.68;37;44
9;0.27;68;9.32;12;44
10;0;5;-11.89;0;44
10;0.03;2;-22.5;1;44
10;0.93;16;1.42;41;44
10;0.9;20;20.97;40;44
10;0;18;-0.07;0;44
10;0.87;11;-14.9;38;44
10;0.97;8;2.91;43;44
10;1;19;-1.13;44;44
10;0;14;1.76;0;44
10;1;12;-0.81;44;44
10;0.03;10;-1.76;1;44
10;0.8;7;2.94;35;44
10;0.03;9;10.52;1;44
10;0.93;4;-2.72;41;44
10;1;3;33.78;44;44
10;0;1;8.68;0;44
10;0.9;15;4.22;40;44
10;0;13;-0.81;0;44
10;0;17;5.17;0;44
10;0.77;36;9.93;34;44
10;0.93;24;0.49;41;44
10;0.17;22;-14.64;7;44
10;0.93;40;16.89;41;44
10;0.93;23;1.24;41;44
10;0.9;29;-1.82;40;44
10;0.9;29;-1.82;40;44
10;0.8;32;7.44;35;44
10;0;33;2.38;0;44
10;0;37;-12.17;0;44
10;0.27;28;2.9;12;44
10;0;30;-0.05;0;44
10;0.97;27;19.15;43;44
10;0.97;35;8.53;43;44
10;0.3;34;-1.54;13;44
10;0;38;-5.14;0;44
10;0.97;39;13.26;43;44
10;0.77;31;25.16;34;44
10;0;25;18.8;0;44
10;0;26;6.5;0;44
10;0.03;21;-5.3;1;44
10;0.13;42;10.64;6;44
10;0.9;51;6.13;40;44
10;0.07;41;12.66;3;44
10;0;58;14.47;0;44
10;0.07;53;5.58;3;44
10;0.93;56;5.89;41;44
10;1;47;12.05;44;44
10;0.3;54;17.28;13;44
10;0.03;50;-1.1;1;44
10;0.17;45;2.71;7;44
10;0.5;49;2.58;22;44
10;0;57;1.05;0;44
10;0.87;52;-13.22;38;44
10;0.93;43;15.59;41;44
10;0.9;60;10.03;40;44
10;0.87;48;-9.96;38;44
10;0.73;59;-9.77;32;44
10;0.9;44;-6.33;40;44
10;0.2;46;9.27;9;44
10;0.93;55;-9.75;41;44
10;0;74;1.86;0;44
10;0.07;66;1.26;3;44
10;0;69;0.19;0;44
10;0.9;76;17.12;40;44
10;0.93;77;-3.97;41;44
10;0.5;64;7.72;22;44
10;0.97;80;-12.18;43;44
10;0.97;79;10.82;43;44
10;0;62;-3.65;0;44
10;0.6;75;-2.36;26;44
10;0.83;63;-2.96;37;44
10;0.07;73;-6.21;3;44
10;0.83;78;-0.97;37;44
10;0.27;68;-22.49;12;44
10;0;61;0.25;0;44
10;0.07;65;-9.39;3;44
10;0.9;71;1.4;40;44
10;0.9;72;28.2;40;44
11;0.97;1;-3.9;43;44
11;0.13;12;8.56;6;44
11;0;20;9.21;0;44
11;0.97;13;22.04;43;44
11;0.9;14;-11.39;40;44
11;1;2;0.85;44;44
11;0.07;3;3.29;3;44
11;0.07;11;1.51;3;44
11;0.87;18;25.42;38;44
11;0;7;-5.04;0;44
11;0.2;4;2.55;9;44
11;0;16;-11.29;0;44
11;0.93;9;3.16;41;44
11;0.8;10;-20.01;35;44
11;0;15;3.85;0;44
11;0.62;17;6.74;27;44
11;1;6;23.87;44;44
11;0;19;-2.48;0;44
11;0.34;8;22.29;15;44
11;0.93;5;-7.72;41;44
11;0.07;36;3.21;3;44
11;0.9;29;2.49;40;44
11;0.9;29;2.49;40;44
11;0;27;20.53;0;44
11;0.67;28;-0.51;29;44
11;0.8;37;22.37;35;44
11;0;31;1.7;0;44
11;0.03;32;1.73;1;44
11;0.93;38;20.4;41;44
11;0.97;25;7.3;43;44
11;0.4;24;-10.14;18;44
11;0;40;-20.71;0;44
11;0;39;19.11;0;44
11;0.53;22;15.14;23;44
11;0.77;21;2.79;34;44
11;0;35;19.92;0;44
11;0.97;34;-6.68;43;44
11;0.03;23;1.58;1;44
11;0.87;26;10.41;38;44
11;0.53;33;25.31;23;44
11;0.9;30;5.3;40;44
11;0.13;47;8.48;6;44
11;0.67;45;5.29;29;44
11;0.93;53;12.21;41;44
11;1;41;9.96;44;44
11;0.69;57;24.42;30;44
11;0.6;55;3.54;26;44
11;0.63;46;14.13;28;44
11;0;52;8.4;0;44
11;0.4;49;5.72;18;44
11;0.37;42;9.12;16;44
11;0.4;43;16.8;18;44
11;0.73;58;15.52;32;44
11;0;56;2.44;0;44
11;0.03;51;-6.68;1;44
11;0.77;54;-14.9;34;44
11;0.07;59;-1.26;3;44
11;0.47;44;10.09;21;44
11;0;48;-11.33;0;44
11;0.27;60;13.76;12;44
11;0.37;50;20.99;16;44
11;0.77;64;12.46;34;44
11;1;77;6.46;44;44
11;0.8;73;8.64;35;44
11;0;71;17;0;44
11;0.7;62;-18.35;31;44
11;0;79;13.5;0;44
11;0.34;61;4.59;15;44
11;0;75;-8.22;0;44
11;0;67;-0.25;0;44
11;0.93;65;7.08;41;44
11;0.57;70;-0.7;25;44
11;0;63;6.67;0;44
11;0;80;12.84;0;44
11;0.93;69;5.94;41;44
11;0.97;78;5.68;43;44
11;0.1;68;13.79;4;44
11;0;72;-8.68;0;44
11;0;76;-0.09;0;44
11;0.93;74;8.57;41;44
11;0.23;66;0.25;10;44
12;0;18;-8.98;0;44
12;0.03;9;0.51;1;44
12;0;17;1.61;0;44
12;1;3;14.98;44;44
12;0.03;10;8.21;1;44
12;1;12;-3.77;44;44
12;0;6;-12.21;0;44
12;0.9;20;2.41;40;44
12;0.93;16;6.55;41;44
12;0;5;-11.72;0;44
12;0.03;2;13.3;1;44
12;0;13;-0.76;0;44
12;0.87;11;6.52;38;44
12;0.93;4;13.32;41;44
12;0.9;15;10.09;40;44
12;0;14;12.8;0;44
12;0;1;3.47;0;44
12;1;19;18.77;44;44
12;0.97;8;-4.25;43;44
12;0.8;7;7.25;35;44
12;0;38;-12.45;0;44
12;0.93;23;5.14;41;44
12;0.97;27;-3.66;43;44
12;0;30;-0.33;0;44
12;0.93;40;-4.94;41;44
12;0.17;22;2.81;7;44
12;0.97;39;-2.92;43;44
12;0.77;31;-9.87;34;44
12;0;37;13.69;0;44
